img,label
"[[[41 41 41]
  [41 41 41]
  [41 41 41]
  ...
  [38 38 38]
  [37 37 37]
  [37 37 37]]

 [[40 40 40]
  [40 40 40]
  [40 40 40]
  ...
  [39 39 39]
  [37 37 37]
  [37 37 37]]

 [[40 40 40]
  [39 39 39]
  [38 38 38]
  ...
  [39 39 39]
  [37 37 37]
  [37 37 37]]

 ...

 [[37 39 25]
  [31 27 16]
  [45 27 25]
  ...
  [45 47 46]
  [50 52 51]
  [45 47 46]]

 [[29 35 33]
  [32 29 24]
  [46 26 17]
  ...
  [43 45 44]
  [46 46 44]
  [48 48 46]]

 [[23 31 34]
  [29 28 24]
  [76 52 40]
  ...
  [45 47 46]
  [48 48 46]
  [46 46 44]]]",65
"[[[ 36  27  12]
  [ 35  28  12]
  [ 35  27  16]
  ...
  [ 25  16   7]
  [ 25  16   7]
  [ 25  16   7]]

 [[ 36  27  12]
  [ 36  27  12]
  [ 35  27  16]
  ...
  [ 25  16   7]
  [ 25  16   7]
  [ 25  16   7]]

 [[ 36  27  12]
  [ 36  27  12]
  [ 35  27  16]
  ...
  [ 25  16   7]
  [ 25  17   6]
  [ 25  17   6]]

 ...

 [[ 70  71  65]
  [ 43  43  35]
  [ 50  47  40]
  ...
  [ 23  21   9]
  [101  97  86]
  [106  99  89]]

 [[ 76  76  68]
  [ 55  55  47]
  [ 49  46  39]
  ...
  [ 34  31  22]
  [ 65  61  52]
  [101  97  88]]

 [[ 92  92  84]
  [ 50  50  42]
  [ 42  39  30]
  ...
  [ 27  24  17]
  [ 59  54  48]
  [113 108 102]]]",88
"[[[ 20  19  17]
  [ 20  19  17]
  [ 18  17  15]
  ...
  [  8   9   4]
  [ 10  11   6]
  [  8   9   4]]

 [[ 20  19  17]
  [ 19  18  16]
  [ 18  17  15]
  ...
  [  7   8   3]
  [ 10  11   6]
  [  9  10   5]]

 [[ 16  14  15]
  [ 16  14  15]
  [ 14  12  13]
  ...
  [  6   7   2]
  [  9  10   5]
  [ 10  11   6]]

 ...

 [[184 153 133]
  [185 150 131]
  [195 148 132]
  ...
  [ 58  13  10]
  [ 63  24  25]
  [165 129 131]]

 [[165 136 118]
  [174 141 122]
  [164 121 104]
  ...
  [ 85  19  20]
  [ 78  19  23]
  [ 63   8  14]]

 [[141 114  95]
  [154 123 103]
  [147 104  88]
  ...
  [106  27  30]
  [ 86  17  22]
  [ 81  16  24]]]",34
"[[[ 10   6   5]
  [ 16  12  11]
  [ 17  13  12]
  ...
  [ 12  10  11]
  [  0   0   4]
  [  8   7  13]]

 [[ 11   7   6]
  [ 11   7   6]
  [  8   4   3]
  ...
  [ 27  25  26]
  [  6   5  10]
  [  6   5  11]]

 [[  4   3   1]
  [  9   8   6]
  [  7   6   4]
  ...
  [ 18  16  17]
  [  4   4   6]
  [  5   4   9]]

 ...

 [[ 21  21  31]
  [122 125 134]
  [ 16  19  28]
  ...
  [ 72  72  74]
  [ 17  17  19]
  [ 49  49  51]]

 [[ 16  18  30]
  [107 109 121]
  [ 39  42  51]
  ...
  [ 75  75  77]
  [ 16  17  19]
  [ 68  69  71]]

 [[ 19  21  33]
  [ 63  65  77]
  [ 83  87  96]
  ...
  [ 81  81  83]
  [ 11  12  14]
  [ 71  72  74]]]",86
"[[[  0   0 241]
  [  0   0 241]
  [  0   0 240]
  ...
  [ 12   7 224]
  [ 33  18 179]
  [ 48  28 161]]

 [[  0   0 241]
  [  0   0 241]
  [  0   0 240]
  ...
  [  8   4 223]
  [ 29  13 181]
  [ 42  23 164]]

 [[  0   0 240]
  [  0   0 240]
  [  0   0 240]
  ...
  [  9   4 228]
  [ 28  13 192]
  [ 43  23 182]]

 ...

 [[ 29  28  42]
  [ 29  28  42]
  [ 27  29  42]
  ...
  [ 72  80 142]
  [ 22  18  69]
  [ 43  34  81]]

 [[ 28  28  40]
  [ 29  29  41]
  [ 30  30  42]
  ...
  [ 49  58 123]
  [ 72  73 127]
  [ 69  67 114]]

 [[ 28  28  40]
  [ 27  27  39]
  [ 32  32  44]
  ...
  [ 56  67 133]
  [ 78  83 138]
  [ 90  92 140]]]",48
"[[[ 10   1   2]
  [  6   0   0]
  [  5   0   1]
  ...
  [148  79  46]
  [150  81  48]
  [151  85  51]]

 [[ 10   1   2]
  [  6   0   0]
  [  5   0   1]
  ...
  [148  79  46]
  [149  80  47]
  [150  84  50]]

 [[ 11   2   3]
  [  6   0   0]
  [  5   0   0]
  ...
  [148  79  48]
  [148  79  48]
  [148  82  50]]

 ...

 [[ 25  25  27]
  [ 23  23  25]
  [ 24  24  24]
  ...
  [ 70  45  23]
  [ 66  38  17]
  [ 77  49  28]]

 [[ 27  25  30]
  [ 25  25  27]
  [ 26  26  26]
  ...
  [ 67  44  26]
  [ 66  38  24]
  [ 76  48  34]]

 [[ 28  26  31]
  [ 27  25  28]
  [ 26  26  28]
  ...
  [ 64  43  26]
  [ 78  51  40]
  [ 68  40  29]]]",108
"[[[ 35  34  42]
  [ 30  29  37]
  [ 26  25  33]
  ...
  [248 251 244]
  [244 252 241]
  [241 251 240]]

 [[ 35  34  42]
  [ 31  30  38]
  [ 27  26  34]
  ...
  [249 252 245]
  [245 252 244]
  [242 252 241]]

 [[ 35  34  40]
  [ 30  29  35]
  [ 27  26  32]
  ...
  [250 251 246]
  [246 251 245]
  [244 251 243]]

 ...

 [[ 31  30  35]
  [ 30  29  34]
  [ 26  25  31]
  ...
  [ 65  65  67]
  [ 59  59  59]
  [ 42  42  40]]

 [[ 32  31  37]
  [ 31  30  36]
  [ 27  26  34]
  ...
  [ 51  51  53]
  [ 27  27  27]
  [ 44  44  44]]

 [[ 32  31  37]
  [ 31  30  36]
  [ 27  26  34]
  ...
  [ 48  48  50]
  [ 40  40  42]
  [ 48  48  48]]]",35
"[[[109 152 203]
  [107 150 201]
  [112 155 208]
  ...
  [ 54  84 146]
  [ 59  88 154]
  [ 66  95 161]]

 [[150 187 231]
  [149 186 230]
  [154 191 236]
  ...
  [119 144 198]
  [123 148 204]
  [129 154 210]]

 [[153 174 205]
  [152 173 204]
  [155 178 210]
  ...
  [154 168 205]
  [156 170 207]
  [159 173 210]]

 ...

 [[134 137 156]
  [124 129 148]
  [119 126 142]
  ...
  [ 34  49 114]
  [ 34  52 114]
  [ 31  51 112]]

 [[113 115 130]
  [111 114 129]
  [107 113 127]
  ...
  [ 37  46 113]
  [ 37  48 112]
  [ 37  48 110]]

 [[ 93  95 108]
  [ 96 100 112]
  [ 95  99 111]
  ...
  [ 36  44 109]
  [ 36  44 109]
  [ 37  45 108]]]",64
"[[[ 66  80 115]
  [ 67  81 116]
  [ 68  82 117]
  ...
  [ 85  98 140]
  [ 85  99 138]
  [ 84  98 135]]

 [[ 67  81 116]
  [ 68  82 117]
  [ 69  83 118]
  ...
  [ 86  99 141]
  [ 86 100 139]
  [ 85  99 136]]

 [[ 68  82 117]
  [ 69  83 118]
  [ 70  84 119]
  ...
  [ 87 100 142]
  [ 86 100 139]
  [ 85  99 136]]

 ...

 [[ 28  26  31]
  [ 29  27  30]
  [ 29  27  32]
  ...
  [246 241 237]
  [244 241 234]
  [239 239 231]]

 [[ 28  25  32]
  [ 29  27  32]
  [ 29  26  33]
  ...
  [244 241 236]
  [240 240 232]
  [236 237 229]]

 [[ 27  24  31]
  [ 28  25  32]
  [ 30  27  34]
  ...
  [241 238 233]
  [241 241 233]
  [239 240 232]]]",120
"[[[227 229 228]
  [227 229 228]
  [227 229 228]
  ...
  [228 230 229]
  [228 230 229]
  [228 230 229]]

 [[227 229 228]
  [227 229 228]
  [227 229 228]
  ...
  [228 230 229]
  [228 230 229]
  [228 230 229]]

 [[227 229 228]
  [227 229 228]
  [227 229 228]
  ...
  [228 230 229]
  [228 230 229]
  [228 230 229]]

 ...

 [[ 36  41  47]
  [ 53  58  64]
  [ 43  48  52]
  ...
  [ 34  38  41]
  [ 32  37  40]
  [ 17  22  25]]

 [[ 53  58  62]
  [ 63  68  72]
  [ 49  52  57]
  ...
  [ 30  39  38]
  [ 29  35  35]
  [ 31  37  37]]

 [[ 59  64  68]
  [ 70  75  79]
  [ 71  74  79]
  ...
  [ 30  41  37]
  [ 31  37  35]
  [ 31  37  35]]]",89
"[[[ 57  82 104]
  [ 33  59  82]
  [ 31  61  89]
  ...
  [ 99 130 151]
  [ 70  99 117]
  [ 49  78  92]]

 [[ 55  77 100]
  [ 33  57  81]
  [ 29  59  87]
  ...
  [ 53  83 107]
  [ 41  70  88]
  [ 37  66  80]]

 [[ 55  71  94]
  [ 36  58  81]
  [ 31  61  89]
  ...
  [ 37  68  96]
  [ 46  75  93]
  [ 70  98 110]]

 ...

 [[ 66  70  79]
  [ 90  90  90]
  [ 90  80  68]
  ...
  [ 12  22  32]
  [ 45  64  78]
  [ 60  83  97]]

 [[ 80  72  70]
  [ 86  77  70]
  [ 90  74  58]
  ...
  [ 15  18  25]
  [ 11  20  27]
  [ 14  27  35]]

 [[112  99  93]
  [121 107  96]
  [139 121 101]
  ...
  [ 15  14  19]
  [ 13  16  21]
  [ 10  17  23]]]",25
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 63  64  66]
  [205 208 213]
  [245 250 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 41  42  44]
  [120 123 128]
  [239 244 248]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 37  38  40]
  [ 93  96 101]
  [213 218 222]]

 ...

 [[203  42  48]
  [200  41  46]
  [199  40  45]
  ...
  [ 40  34  38]
  [ 27  25  28]
  [ 30  30  32]]

 [[194  39  45]
  [192  39  44]
  [191  42  46]
  ...
  [ 42  33  34]
  [ 26  26  28]
  [ 28  29  33]]

 [[196  45  50]
  [190  41  45]
  [186  41  44]
  ...
  [ 57  49  46]
  [ 33  33  35]
  [ 22  26  29]]]",72
"[[[53 60 66]
  [53 60 66]
  [53 61 64]
  ...
  [58 65 73]
  [58 65 73]
  [58 65 73]]

 [[53 60 66]
  [53 60 66]
  [53 61 64]
  ...
  [58 65 73]
  [58 65 73]
  [58 65 73]]

 [[52 60 63]
  [52 60 63]
  [52 60 63]
  ...
  [58 65 73]
  [58 65 73]
  [58 65 73]]

 ...

 [[69 72 77]
  [66 70 73]
  [61 65 68]
  ...
  [44 44 44]
  [44 44 44]
  [45 45 45]]

 [[60 64 67]
  [64 68 71]
  [63 67 70]
  ...
  [43 45 44]
  [43 45 44]
  [45 47 46]]

 [[59 63 66]
  [58 62 65]
  [58 62 63]
  ...
  [44 46 45]
  [44 46 45]
  [47 49 48]]]",74
"[[[ 11   6   3]
  [ 10   5   2]
  [  9   4   1]
  ...
  [ 15   7   5]
  [ 15   7   5]
  [ 14   9   6]]

 [[ 12   7   4]
  [ 11   6   3]
  [ 10   5   2]
  ...
  [ 16   6   4]
  [ 15   7   4]
  [ 14   9   5]]

 [[ 13   8   5]
  [ 12   7   4]
  [ 11   6   3]
  ...
  [ 16   7   2]
  [ 15   8   2]
  [ 15   8   2]]

 ...

 [[ 41  30  26]
  [ 40  31  26]
  [ 40  33  27]
  ...
  [180  63  30]
  [180  87  56]
  [234 153 123]]

 [[ 42  32  30]
  [ 41  31  29]
  [ 40  32  29]
  ...
  [185  62  29]
  [188  96  59]
  [243 168 129]]

 [[ 42  32  31]
  [ 39  31  29]
  [ 37  29  27]
  ...
  [170  46  12]
  [188  96  57]
  [250 177 136]]]",86
"[[[ 83  90 100]
  [ 81  88  98]
  [ 77  84  94]
  ...
  [205 201 198]
  [205 202 197]
  [206 203 198]]

 [[ 86  93 103]
  [ 84  91 101]
  [ 79  86  96]
  ...
  [204 200 197]
  [204 201 196]
  [205 202 197]]

 [[ 88  95 105]
  [ 85  92 102]
  [ 81  88  98]
  ...
  [204 200 197]
  [204 201 196]
  [205 202 197]]

 ...

 [[ 26  28  40]
  [ 25  27  39]
  [ 25  27  39]
  ...
  [ 43  50  68]
  [ 42  45  60]
  [ 39  43  55]]

 [[ 26  28  40]
  [ 25  27  39]
  [ 26  28  40]
  ...
  [ 41  48  67]
  [ 40  43  58]
  [ 38  42  54]]

 [[ 26  28  40]
  [ 25  27  39]
  [ 26  28  40]
  ...
  [ 45  52  71]
  [ 42  45  60]
  [ 37  41  53]]]",54
"[[[111  95  79]
  [119 104  85]
  [120 103  85]
  ...
  [222 213 204]
  [221 212 203]
  [220 211 202]]

 [[ 87  71  56]
  [ 90  74  59]
  [ 95  78  62]
  ...
  [225 211 198]
  [227 211 198]
  [225 211 198]]

 [[ 66  47  40]
  [ 67  48  41]
  [ 68  50  40]
  ...
  [209 182 163]
  [211 182 164]
  [208 181 162]]

 ...

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [189 178 174]
  [173 153 144]
  [171 148 134]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [193 186 180]
  [176 164 150]
  [181 168 149]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [201 198 189]
  [184 177 161]
  [189 181 160]]]",48
"[[[  3   2   0]
  [  3   2   0]
  [  5   1   0]
  ...
  [  5   4   0]
  [  6   5   0]
  [  7   6   1]]

 [[  3   2   0]
  [  3   2   0]
  [  3   2   0]
  ...
  [  4   3   0]
  [  5   4   0]
  [  6   5   0]]

 [[  3   3   3]
  [  2   2   2]
  [  1   3   2]
  ...
  [  4   3   0]
  [  4   3   0]
  [  5   4   0]]

 ...

 [[  0   5   5]
  [  0   5   5]
  [  0   6   6]
  ...
  [ 78  84 108]
  [ 43  63  90]
  [115 140 170]]

 [[  0   4   4]
  [  0   5   5]
  [  0   5   5]
  ...
  [ 62  78 112]
  [ 28  51  93]
  [ 26  53  98]]

 [[  0   4   4]
  [  0   4   4]
  [  0   4   4]
  ...
  [192 214 253]
  [112 138 187]
  [126 153 206]]]",64
"[[[216 216 214]
  [217 217 215]
  [212 211 207]
  ...
  [151 152 147]
  [145 146 141]
  [151 152 147]]

 [[212 212 210]
  [221 221 219]
  [227 226 222]
  ...
  [148 149 144]
  [149 150 145]
  [148 149 144]]

 [[215 214 212]
  [218 217 215]
  [223 222 218]
  ...
  [143 142 138]
  [141 140 136]
  [151 150 146]]

 ...

 [[ 28  38 110]
  [ 19  31 103]
  [ 23  36 106]
  ...
  [143 121  80]
  [ 39  29  53]
  [ 30  25  79]]

 [[ 37  53 130]
  [ 25  39 114]
  [ 20  34 107]
  ...
  [ 90  76  49]
  [ 29  25  60]
  [ 22  23  88]]

 [[ 36  53 133]
  [ 38  54 132]
  [ 29  43 116]
  ...
  [ 47  39  18]
  [ 29  28  68]
  [ 18  22  93]]]",101
"[[[150 111  72]
  [132  93  54]
  [136  97  58]
  ...
  [ 94  56  35]
  [ 99  61  38]
  [103  65  42]]

 [[111  71  35]
  [129  89  53]
  [115  75  39]
  ...
  [ 92  51  29]
  [ 95  55  30]
  [103  63  38]]

 [[112  74  38]
  [119  81  45]
  [ 94  56  20]
  ...
  [102  60  35]
  [105  61  36]
  [113  69  44]]

 ...

 [[111  77  49]
  [113  82  53]
  [121  90  61]
  ...
  [175 159 133]
  [188 172 146]
  [176 160 134]]

 [[113  82  54]
  [124  94  66]
  [147 117  89]
  ...
  [174 158 132]
  [192 176 150]
  [179 163 137]]

 [[136 106  78]
  [153 123  95]
  [163 136 109]
  ...
  [174 158 132]
  [193 177 151]
  [174 158 132]]]",77
"[[[  0   1  14]
  [  3   6  23]
  [  5   9  36]
  ...
  [  0  18  56]
  [  1  15  50]
  [  0  12  46]]

 [[  0   1  16]
  [  3   6  25]
  [  4   8  35]
  ...
  [  0  18  56]
  [  2  16  51]
  [  0  13  47]]

 [[  0   1  19]
  [  3   6  25]
  [  4   8  35]
  ...
  [  0  17  55]
  [  1  15  50]
  [  1  14  48]]

 ...

 [[170 126  89]
  [171 127  90]
  [170 127  92]
  ...
  [237 175 134]
  [240 179 135]
  [244 183 138]]

 [[179 135  98]
  [179 135  98]
  [180 138 100]
  ...
  [254 185 146]
  [254 181 146]
  [251 178 143]]

 [[177 133  96]
  [176 132  95]
  [175 133  95]
  ...
  [255 188 151]
  [255 182 148]
  [250 174 142]]]",120
"[[[182  57  63]
  [180  55  63]
  [175  51  61]
  ...
  [135 113  99]
  [138 110  96]
  [137 108  92]]

 [[177  53  61]
  [175  51  59]
  [170  48  59]
  ...
  [134 113  96]
  [138 111  92]
  [138 110  89]]

 [[176  56  65]
  [173  53  62]
  [168  51  60]
  ...
  [134 114  89]
  [139 113  88]
  [141 114  87]]

 ...

 [[ 41  37  54]
  [ 39  36  55]
  [ 36  34  55]
  ...
  [ 72  33  36]
  [165  80  73]
  [194  86  73]]

 [[ 55  36  42]
  [ 50  33  41]
  [ 41  27  40]
  ...
  [ 84  40  39]
  [174  84  73]
  [207  94  76]]

 [[103  77  78]
  [ 87  62  65]
  [ 56  36  45]
  ...
  [ 86  41  38]
  [180  86  74]
  [209  92  74]]]",70
"[[[188 162 161]
  [188 168 167]
  [194 184 183]
  ...
  [195 153 154]
  [198 152 155]
  [197 151 154]]

 [[189 163 162]
  [190 170 169]
  [196 186 185]
  ...
  [196 152 153]
  [197 151 154]
  [196 150 153]]

 [[187 163 163]
  [191 173 173]
  [195 187 185]
  ...
  [197 153 154]
  [197 151 154]
  [199 150 154]]

 ...

 [[ 75  63  63]
  [ 78  66  66]
  [ 75  61  61]
  ...
  [ 78  59  61]
  [ 83  64  66]
  [ 84  68  69]]

 [[ 93  81  81]
  [ 87  73  73]
  [ 88  72  73]
  ...
  [ 82  63  67]
  [ 84  65  69]
  [ 86  67  71]]

 [[ 88  76  76]
  [ 91  77  77]
  [ 89  73  74]
  ...
  [ 76  55  60]
  [ 78  59  63]
  [ 90  71  75]]]",3
"[[[187 191 200]
  [196 200 209]
  [204 208 217]
  ...
  [202 215 224]
  [206 213 229]
  [206 213 229]]

 [[190 194 203]
  [199 203 212]
  [207 211 220]
  ...
  [203 216 225]
  [206 214 227]
  [206 213 229]]

 [[193 197 206]
  [202 206 215]
  [209 213 222]
  ...
  [205 218 227]
  [208 216 229]
  [208 216 229]]

 ...

 [[255  81  32]
  [243  59   9]
  [255  72  23]
  ...
  [200  17   3]
  [196  15   4]
  [191  15   2]]

 [[255  72  28]
  [233  48   2]
  [255  85  40]
  ...
  [197  14   0]
  [189  13   0]
  [192  18   7]]

 [[255  66  24]
  [220  35   0]
  [253  88  43]
  ...
  [196  15   0]
  [193  16   6]
  [188  16   6]]]",89
"[[[116  49  23]
  [115  48  21]
  [115  46  13]
  ...
  [ 96  38  14]
  [ 97  35  20]
  [ 99  35  23]]

 [[112  44  21]
  [113  46  20]
  [116  47  16]
  ...
  [ 90  32  10]
  [ 95  34  16]
  [100  38  23]]

 [[106  34  19]
  [108  37  17]
  [116  44  19]
  ...
  [ 87  30  10]
  [ 91  32  14]
  [ 95  36  18]]

 ...

 [[192 180 164]
  [185 173 157]
  [178 166 150]
  ...
  [184 173 151]
  [182 174 151]
  [186 180 154]]

 [[201 189 173]
  [189 177 161]
  [175 166 149]
  ...
  [181 169 147]
  [167 157 132]
  [147 140 112]]

 [[203 191 175]
  [193 181 165]
  [173 164 147]
  ...
  [146 134 110]
  [158 148 123]
  [167 157 130]]]",20
